"dhsID_year","DHSID","lat","long","n","year","survey_year","treated_unit","treat_year","treated_id","pred_output_1","pred_output_2","pred_output_3","pred_output_4","pred_output_5","meanWI"
"UG200600000004_2006","UG200600000004",-0.499767,32.311082,26,2006,2006,0,0,0,-1.180477023,-1.164284706,-0.706204474,-1.128666878,-1.214582682,-1.078843153
"UG200600000006_2006","UG200600000006",-0.199608,31.612805,22,2006,2006,0,0,0,-1.866378188,-2.002385855,-1.803591132,-1.47289145,-2.336355448,-1.896320415
"UG200600000019_2006","UG200600000019",0.103618,31.748963,21,2006,2006,0,0,0,-0.746955991,-1.171809316,-0.846817434,-1.235611439,-0.853551745,-0.970949185
"UG200600000020_2006","UG200600000020",0.273579,31.631122,24,2006,2006,0,0,0,-1.553548098,-1.269228458,-0.984227002,-1.301461577,-1.18610394,-1.258913815
"UG200600000023_2006","UG200600000023",-0.255863,31.195667,23,2006,2006,0,0,0,-1.635403037,-1.369277239,-1.492285371,-1.369037271,-1.77786386,-1.528773355
"UG200600000024_2006","UG200600000024",-0.847251,31.732653,22,2006,2006,0,0,0,-4.646601677,-4.451079845,-3.80006218,-4.079041004,-5.023291588,-4.400015259
"UG200600000025_2006","UG200600000025",-0.504027,31.183568,25,2006,2006,0,0,0,-2.181027889,-1.798690796,-1.132440805,-1.801236749,-1.972999215,-1.777279091
"UG200600000026_2006","UG200600000026",-0.509567,31.328109,23,2006,2006,0,0,0,-1.37111783,-0.395187765,-1.412215948,-1.651713371,-2.068931103,-1.379833204
"UG200600000027_2006","UG200600000027",-0.561573,31.570126,25,2006,2006,0,0,0,0.120495103,-0.527398586,-0.034090832,-0.424844801,-1.069822669,-0.387132357
"UG200600000028_2006","UG200600000028",0.123882,31.214166,24,2006,2006,0,0,0,-1.357508421,-1.092946649,-1.125235915,-1.655715704,-1.087554932,-1.263792324
"UG200600000029_2006","UG200600000029",-0.291423,31.391554,23,2006,2006,0,0,0,-1.233145237,-1.384397507,-1.148796082,-1.359349728,-1.294195771,-1.283976865
"UG200600000030_2006","UG200600000030",-0.145982,31.435004,26,2006,2006,0,0,0,-0.841920733,-0.696766198,-0.589601934,-1.478179097,-1.34326601,-0.989946795
"UG200600000032_2006","UG200600000032",0.431351,32.282401,24,2006,2006,0,0,0,-1.819406152,-1.092508316,-1.42914319,-0.977626801,-1.773168445,-1.418370581
"UG200600000042_2006","UG200600000042",1.491609,32.529187,22,2006,2006,0,0,0,-4.646601677,-4.451079845,-3.80006218,-4.079041004,-5.023291588,-4.400015259
"UG200600000043_2006","UG200600000043",0.956516,31.831879,22,2006,2006,0,0,0,-1.765145302,-1.8326509,-1.969287157,-1.820601463,-1.441322923,-1.765801549
"UG200600000046_2006","UG200600000046",0.929063,32.438985,23,2006,2006,0,0,0,-1.728860378,-1.511986375,-1.603223324,-1.395176411,-1.718301654,-1.591509628
"UG200600000048_2006","UG200600000048",0.894168,32.413036,21,2006,2006,0,0,0,-1.821749926,-1.574703932,-1.545899749,-1.605679035,-1.80872786,-1.6713521
"UG200600000050_2006","UG200600000050",0.338518,32.118509,24,2006,2006,0,0,0,-1.693299413,-0.966292322,-1.324830413,-0.72762239,-1.361769557,-1.214762819
"UG200600000051_2006","UG200600000051",0.46951,31.331333,18,2006,2006,0,0,0,-2.183677435,-1.38720119,-1.44330132,-0.766884863,-1.400690556,-1.436351073
"UG200600000052_2006","UG200600000052",0.512382,31.557315,26,2006,2006,0,0,0,-1.834965467,-1.24236095,-1.478204131,-0.647092998,-1.177416682,-1.276008046
"UG200600000054_2006","UG200600000054",0.648752,31.328888,24,2006,2006,0,0,0,-1.911156893,-1.399117231,-1.633774757,-0.664028645,-1.554131985,-1.432441902
"UG200600000055_2006","UG200600000055",0.695439,31.801249,26,2006,2006,0,0,0,-1.525610566,-1.253322005,-1.041361332,-0.771046996,-1.509867072,-1.220241594
"UG200600000057_2006","UG200600000057",0.741383,31.917782,22,2006,2006,0,0,0,-1.996899724,-1.612095952,-1.6534971,-1.197818518,-1.696289897,-1.631320238
"UG200600000058_2006","UG200600000058",0.573414,31.919594,27,2006,2006,0,0,0,-2.063794136,-1.357866287,-1.663461804,-0.797807038,-1.66393733,-1.509373319
"UG200600000059_2006","UG200600000059",0.43761,32.148653,23,2006,2006,0,0,0,-1.91823554,-1.270285964,-1.598120809,-1.107082009,-1.846685767,-1.548082018
"UG200600000062_2006","UG200600000062",0.430846,32.965229,24,2006,2006,0,0,0,-1.714029312,-1.190593719,-1.951164365,-1.995555162,-1.191625237,-1.608593559
"UG200600000063_2006","UG200600000063",0.362834,33.227008,21,2006,2006,0,0,0,-1.525844216,-1.43785584,-1.2046808,-1.842829823,-1.426805615,-1.487603259
"UG200600000072_2006","UG200600000072",0.503527,32.866341,22,2006,2006,0,0,0,-1.85427773,-1.248188853,-1.537166953,-0.819907129,-1.260385156,-1.343985164
"UG200600000073_2006","UG200600000073",1.002155,32.542822,23,2006,2006,0,0,0,-1.938596487,-2.09603405,-1.287433863,-1.914505005,-1.933968186,-1.834107518
"UG200600000114_2006","UG200600000114",0.447477,33.834903,23,2006,2006,0,0,0,-2.598852634,-2.258955717,-1.647962451,-1.741808653,-1.508003831,-1.951116657
"UG200600000115_2006","UG200600000115",0.343588,33.83904,23,2006,2006,0,0,0,-1.679204464,-1.950376987,-1.425481558,-1.580958843,-2.021914959,-1.731587362
"UG200600000116_2006","UG200600000116",0.700497,33.699225,22,2006,2006,0,0,0,-1.903867126,-1.979512095,-1.641128778,-1.826909184,-2.197792053,-1.909841847
"UG200600000118_2006","UG200600000118",0.416167,34.069588,26,2006,2006,0,0,0,-1.543958664,-1.463708878,-1.310339212,-1.541201949,-1.299678564,-1.431777453
"UG200600000120_2006","UG200600000120",0.780065,33.710458,24,2006,2006,0,0,0,-1.637201428,-1.778731227,-1.449103236,-1.218529105,-1.391583323,-1.495029664
"UG200600000121_2006","UG200600000121",0.794881,33.707816,21,2006,2006,0,0,0,-1.593139887,-1.630678892,-1.618858814,-1.335934043,-1.519483805,-1.539619088
"UG200600000122_2006","UG200600000122",0.87726,33.725561,18,2006,2006,0,0,0,-1.624634385,-1.571008444,-1.452348471,-1.247201443,-1.647466421,-1.508531833
"UG200600000124_2006","UG200600000124",0.637026,33.458344,24,2006,2006,0,0,0,0.165024146,-0.007593128,0.114553191,0.099995561,0.109546892,0.096305333
"UG200600000125_2006","UG200600000125",0.868535,33.3712,21,2006,2006,0,0,0,-1.841001153,-2.407885075,-2.335603237,-1.589956403,-1.506745219,-1.936238217
"UG200600000126_2006","UG200600000126",0.661336,33.524191,24,2006,2006,0,0,0,-1.471215367,-1.688784838,-0.830905914,-0.877466977,-1.604133964,-1.294501412
"UG200600000128_2006","UG200600000128",0.979498,33.321107,21,2006,2006,0,0,0,-1.386071682,-1.168333292,-1.290810585,-1.238674879,-1.137211084,-1.244220304
"UG200600000129_2006","UG200600000129",0.721134,33.31988,24,2006,2006,0,0,0,-1.743117809,-1.718141556,-1.544990182,-0.973793268,-1.447448134,-1.48549819
"UG200600000131_2006","UG200600000131",1.069171,33.31311,25,2006,2006,0,0,0,-1.850666046,-2.018164396,-1.751870871,-1.553898454,-1.910873413,-1.817094636
"UG200600000136_2006","UG200600000136",1.303928,33.070117,25,2006,2006,0,0,0,-1.270407677,-1.046551704,-1.046805263,-1.237268567,-1.07895112,-1.135996866
"UG200600000137_2006","UG200600000137",1.121935,33.318157,22,2006,2006,0,0,0,-2.189723253,-2.002589226,-1.966098905,-1.524368405,-1.747602105,-1.886076379
"UG200600000138_2006","UG200600000138",1.303204,33.028778,24,2006,2006,0,0,0,-1.187625885,-1.215667248,-1.097046494,-1.386563063,-1.070985198,-1.191577578
"UG200600000139_2006","UG200600000139",1.058884,32.99825,24,2006,2006,0,0,0,-1.34351933,-1.41057992,-1.239087939,-1.47702992,-1.469239593,-1.38789134
"UG200600000144_2006","UG200600000144",1.144634,33.557264,25,2006,2006,0,0,0,-0.861473739,-0.407379389,-0.903699636,-0.987444639,-0.872619987,-0.806523478
"UG200600000145_2006","UG200600000145",1.084304,33.379475,25,2006,2006,0,0,0,-1.143401265,-1.11935401,-1.317286015,-1.324449539,-1.241652727,-1.229228711
