"","Year","DID_est","DID_sd","DID_diff","MC_est","MC_sd","MC_diff","DD_np_est","DD_np_sd","DD_np_diff"
"1",4,0.600005857949782,0.173735345394962,0.399994142050218,0.609054960599267,0.210899818271135,0.390945039400733,0.599805494541013,0.226662377214831,0.400194505458987
"2",6,0.645707723886445,0.141057281670626,0.354292276113555,0.64033999235601,0.192610141812052,0.35966000764399,0.647242821971411,0.194451020957326,0.352757178028589
"3",8,0.634706395767669,0.148183642333925,0.365293604232331,0.650881561166197,0.213531700104561,0.349118438833803,0.648304683766764,0.233293542099548,0.351695316233236
"4",10,0.709755336609081,0.13913840430773,0.290244663390919,0.712472592341337,0.178943624370686,0.287527407658663,0.711764526683376,0.191516230880764,0.288235473316624
"5",12,0.681864021896033,0.13395583861149,0.318135978103967,0.712435646876971,0.175849302422752,0.287564353123029,0.694783770932135,0.202074457019492,0.305216229067865
"6",14,0.708973825192226,0.128749492914212,0.291026174807774,0.746652196915727,0.196265214985959,0.253347803084273,0.7415049627647,0.235259181929298,0.2584950372353
"7",16,0.74111069702129,0.186143236809608,0.25888930297871,0.735818391289842,0.25038609011741,0.264181608710158,0.734198193481414,0.308204405748837,0.265801806518586
"8",18,0.741115607621629,0.188039026773617,0.258884392378371,0.769146350015141,0.240299470516449,0.230853649984859,0.789096032837924,0.278242797881993,0.210903967162076
"9",20,0.738770449835319,0.198396206774253,0.261229550164681,0.745343457970777,0.273438869241524,0.254656542029223,0.739556699134266,0.334150297378256,0.260443300865734
"10",22,0.795655893790027,0.23486928153671,0.204344106209973,0.804768029140525,0.284283507781514,0.195231970859475,0.808849647746434,0.42314897195389,0.191150352253566
