"","Year","DID_est","DID_sd","DID_diff","MC_est","MC_sd","MC_diff","DD_np_est","DD_np_sd","DD_np_diff"
"1",4,0.470983418622541,0.148056475041774,0.529016581377459,0.480729949409882,0.180159071880534,0.519270050590118,0.47248164408185,0.19035100027325,0.52751835591815
"2",6,0.512621099552229,0.120858474409625,0.487378900447771,0.514607167733008,0.168802724290428,0.485392832266992,0.519921004703013,0.168537154106297,0.480078995296987
"3",8,0.51525684667099,0.129773532262258,0.48474315332901,0.535033298878533,0.188851089715961,0.464966701121467,0.533631258243329,0.202645372321316,0.466368741756671
"4",10,0.590698019933734,0.121889086624285,0.409301980066266,0.595657492328008,0.1577588199695,0.404342507671992,0.593569173545537,0.167520952721452,0.406430826454463
"5",12,0.572689029083609,0.118790695568744,0.427310970916391,0.605105869661633,0.161138734214175,0.394894130338367,0.589559146023877,0.184336781057491,0.410440853976123
"6",14,0.607560478523607,0.116269994422176,0.392439521476393,0.647354774672296,0.179267072072395,0.352645225327704,0.643374107990617,0.21190851719863,0.356625892009383
"7",16,0.646485384247031,0.172113596278138,0.353514615752969,0.650825009041272,0.232183755474154,0.349174990958728,0.650731143847011,0.282529679332745,0.349268856152989
"8",18,0.651814833162524,0.175737439939013,0.348185166837476,0.682207423446502,0.222825338828656,0.317792576553498,0.701094295278397,0.258248998690979,0.298905704721603
"9",20,0.657625786109768,0.184654189111067,0.342374213890232,0.670228085165455,0.256128300008961,0.329771914834545,0.66563862761893,0.311816695740939,0.33436137238107
"10",22,0.714460153642872,0.21645021699131,0.285539846357128,0.728331008125042,0.26626316460105,0.271668991874958,0.730935061783291,0.391934328753202,0.269064938216709
