"","Year","DID_est","DID_sd","DID_diff","MC_est","MC_sd","MC_diff","DD_np_est","DD_np_sd","DD_np_diff"
"1",4,0.858050736604263,0.232673157676947,0.141949263395737,0.866189266896616,0.279003509556129,0.133810733103384,0.854453195459338,0.30611113276815,0.145546804540662
"2",6,0.911880972554878,0.185962290196638,0.0881190274451219,0.891668532059381,0.243768400595361,0.108331467940619,0.901886456508208,0.250797551771257,0.0981135434917925
"3",8,0.873605493961027,0.189365521370698,0.126394506038973,0.882019656184394,0.269330560615568,0.117980343815606,0.877651534813635,0.300330895596174,0.122348465186365
"4",10,0.947869969959774,0.17743707082483,0.0521300300402258,0.94906785738484,0.22911089022463,0.0509321426151602,0.948155232959055,0.24393437533826,0.051844767040945
"5",12,0.900214007520883,0.168479622358501,0.0997859924791173,0.925530472202951,0.210910877681717,0.0744695277970485,0.905233020748651,0.241563202033798,0.0947669792513486
"6",14,0.911800518529464,0.157017248043281,0.0881994814705359,0.945776472885347,0.232570370004118,0.0542235271146527,0.937766672312868,0.284925599390757,0.0622333276871323
"7",16,0.930361322569808,0.217537357373809,0.0696386774301923,0.90379591834302,0.296600871401561,0.0962040816569798,0.901132292750221,0.363495371143682,0.0988677072497789
"8",18,0.91971715653984,0.215933433056181,0.0802828434601603,0.942240116665794,0.281209741701494,0.0577598833342056,0.965099507956979,0.322968556086863,0.0349004920430211
"9",20,0.901059777286422,0.227778221439242,0.0989402227135781,0.896904613042668,0.311585204586683,0.103095386957332,0.88739284216494,0.38201707822755,0.11260715783506
"10",22,0.958047374084338,0.27367415844595,0.0419526259156621,0.957031734014536,0.324380148079091,0.0429682659854639,0.96467881967272,0.488287568654739,0.0353211803272805
