"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",0,79814.6383095307,75597.9498680613,112888.415416058,57915.129796355,62038.8687841175,101459.740296211,42259.1043133858,108988.61067765,79857.3502938938,110030.061020288,41734.0943921257,87107.8205840775,80891.7651424267,92975.4102609548,87185.2068941021,57965.1914805426,120375.442984245,113626.847717605,143157.457940302,95060.5645368694,131859.993343637,80760.1299833985,108509.309363296,155630.72207144,158595.811949687,122215.273202955,110577.998816492,78196.0562914191,99308.8903626381,66847.316063972,105863.95251807,101325.274180285,210416.20816905,166916.643490439,164080.162501197,161687.052349581,166058.4414678,177301.387560928,151430.19279533,143812.326226293,141742.94494109,132924.143242634,117357.714720047,155939.753372092,193501.564771178,155111.878052321,197819.681208331,139749.203015198,137386.665133931,126791.47055785,69032.8268823142,69070.066150136,73821.5586792178,75032.5683503443,71277.1637682958,63355.2669093543,68326.138633779,66591.3858552383,65608.4609936357,74208.4958824095,75009.3614657969,74644.9176065362,67292.0621184589,71380.611214873,64990.8118347185,69555.0073492624,66799.8155806389,198849.622846294,173235.524073766,304922.888060406,243449.076975929,240668.276099575,250295.29169154,241574.922056473,243950.228752025,232318.975603699,215271.511954394,228738.545865845,269413.187397619,266547.55058417,202326.950926927,221208.505394024,205916.00792641,223633.802351047,292403.236049472,259839.176417413,245067.890777308,298346.324582476,313019.67520943,345867.973239415,353369.344614218,320747.01349923,414453.564213664,417112.286448142,260245.477093003,314112.178646988,231734.939096182,286540.811015007,363091.841140525,339832.208647448,349487.749915467,276438.095214198,222740.403448136,233011.045363996,212036.567987323,178794.987624779,237520.185833704,229528.441117396,259364.125439578,279278.420669551,266684.629072406,206260.667548173,249073.33727645,248845.171474086,248619.553219935,245892.408409915,283814.55064036,285805.804784786,289667.471307267,254447.660013024,248716.578494435,305131.641749683,306341.646138895,473690.896400446,470148.546065141,417510.13245821,371931.112123365,370634.78596532,331985.140539048,258421.284708536,266541.087618088,256297.441927431,241390.9071276,245407.041903547,259089.678645432,224728.526587467,246509.112939646,268209.969923837,216278.475903689,288272.250017205,253336.856645646,310577.800060869,313122.552173651,191409.234897592,216622.523703705,194273.319773642,257853.45753805,254965.026340926,252240.218894724,210426.258596476,279132.289881256,275856.95980519,411986.089668905,407793.62581754,409548.613340705,398521.340977075,346640.013672844,421610.970128791,424540.999887361,402852.079197723,372318.358806013,419721.719297661,337026.004256502,302315.395705665,351264.298798084,321702.902510341,436617.104395808,449968.244940169,438998.400097003
"2",79814.6383095307,0,30938.8087511791,46305.7037643306,18934.156298189,43269.0436256842,24341.8727809874,33254.6623146046,92666.3984668857,63131.2855152214,35999.3114093747,80912.4044892454,106617.597352689,77894.5791172077,112707.029416508,108219.134441943,95495.9506867043,151210.564576514,156047.039269925,89803.8621448642,107335.373835912,136239.591611802,57318.6726449562,79597.0955287999,73958.9639793967,79271.4563404574,54254.9894734844,160210.671133665,134861.727607093,163985.621829759,122053.460758668,142436.595563778,94808.998980412,180272.970781281,237923.483764357,222861.644126242,223662.252860985,220627.973213792,224345.151669213,204124.593133808,189016.009397307,188792.830271216,172715.851886716,162126.910833288,185334.601960936,201393.577318608,188897.013100804,233047.699055409,176887.341466315,192730.079804027,190698.173822193,97751.2317999102,97113.5545746444,99320.6983474354,101045.649779995,98230.236579701,101130.781568976,99588.4767857081,99251.8899106484,96355.6841137436,105882.432877359,106284.286198167,100360.078449094,93575.1626602984,97688.808839712,92706.7383526109,96739.5143565316,94550.9841582051,264119.442224798,240261.038864263,355406.23112536,302507.081393735,298380.993018525,301742.94405694,294970.285846943,297978.015859363,273640.43944407,252144.879207882,274529.814817496,318599.679562712,316165.122230841,255031.872473692,277505.503923819,264534.925461439,283730.94925989,278390.899572969,252731.196092916,230979.222431602,280164.793261978,298445.731013232,321006.23859187,319601.841712211,296627.60375526,403413.177220131,394748.00523835,268613.717581462,302569.614574677,229656.664043848,293145.15171436,346008.919596686,333242.46022819,350531.358319016,247535.308419818,181715.883734918,185813.141243224,125750.082768279,92930.971212074,155344.212095556,146342.914100219,172521.227910019,196215.530387664,180951.052959253,118795.944973189,161612.435853137,161565.572515912,169425.542701269,185395.397283726,196372.42357086,198342.753568586,308364.171986478,296300.535371271,258948.77475767,326884.989978364,336686.821006018,482087.452371967,477816.769656159,427028.678801074,381318.579812763,398628.406271637,374336.578035734,296091.181363441,303701.638565371,280017.829577507,268261.820605712,266915.427372151,282958.163909805,153551.347968654,173336.514925208,195245.993971017,145182.805447101,233124.644459762,198445.8612092,242469.784600846,251477.772161364,123358.931095337,133171.542978488,142935.316801115,184272.286651264,173406.774741485,185549.908185435,149934.841584405,214314.52197006,204816.11510915,372493.60122154,368729.260839347,349254.389127001,339860.962398198,288554.832537742,364663.350479798,366758.746613768,352930.619260451,311896.429475092,374589.594425804,278200.681538601,246871.739642159,289962.429220524,261352.09704991,386251.373436654,400704.361495658,392617.659376017
"3",75597.9498680613,30938.8087511791,0,29804.880711774,18117.5869091471,71486.4047478295,62271.88479792,47646.845961966,54337.5868366556,24794.6700328542,29521.1567336421,96867.9787897218,132356.64453844,107527.679967769,138813.415050697,133616.710883449,114257.588249807,175837.051599549,176965.613441096,128426.380382574,135248.67881347,167654.47867525,90094.372028128,115520.501208485,106036.804913955,112755.707643448,92462.756753701,178588.770131744,149448.559834797,175992.312224202,136552.959207019,164844.771081534,126830.980745933,218293.782752863,247516.930044472,238716.053241499,238016.508807703,238317.940084839,245135.012654672,222335.402521007,209847.493590928,208926.833729996,195076.14127097,182397.476129413,211409.622710978,233551.100246375,213673.368929413,258154.389105347,200265.584311494,209613.931611107,203624.533362809,119783.835722341,119304.496721501,122565.494224644,124287.211927694,120895.497852372,120422.338259757,120959.080817439,120116.229105046,117563.568500102,127698.093213734,128266.609868901,123633.931594816,115967.507254331,120510.693974275,114519.816726642,119175.810685545,116562.400793801,277184.541007635,252175.77109386,376026.404173871,318986.062925684,315466.172573309,321613.394279623,313961.825000562,316719.219549155,297161.335815129,276961.335040603,296414.69119717,339522.759416566,336896.812116662,273946.651142583,295075.213917243,280924.827003535,299576.197149257,315251.351465028,288420.943050395,267562.865297753,317537.37437255,335470.243949511,359122.017352092,358165.449436873,334631.39810876,440324.195961891,432806.034484383,301467.124111142,339213.981123761,264260.67986899,326572.878619044,383482.095849676,369299.237355048,385381.300343507,285752.975102688,220310.958555388,224386.548128994,149284.183707272,118705.551115153,184145.67980655,174296.467973358,183533.372364115,198058.02011855,188319.867787446,135788.870100452,177322.286087784,175073.054906815,200383.806570567,222786.549076307,211072.634740476,213559.358836701,339085.379677469,319842.867668644,291295.079420905,356939.30385807,364353.472998352,515965.665934072,511830.918982207,460503.375110922,414646.856470223,427339.039165541,398222.419884242,321093.092719223,328939.612884486,309160.306197592,296388.618933849,296533.669570056,312086.981331494,141621.557841069,163292.769953264,185036.260122752,133151.84124607,210607.597113449,175462.104405594,228320.383438585,232885.332031512,108534.030129548,136384.290054554,117200.980594357,174630.592807711,173076.32492369,170062.399693471,129728.992344499,197630.628214952,192914.538837842,411094.227064135,407337.631302892,385860.855405472,376803.798164595,325778.947219572,401830.259043425,403778.013792897,391007.137521378,348609.612242044,412989.235094514,315342.190414172,284639.572357379,326590.479841484,298298.941991748,424226.629001292,438765.648731632,430918.231505655
"4",112888.415416058,46305.7037643306,29804.880711774,0,50671.1144676878,96625.3553185857,67577.850863639,79192.3408975773,59330.8618095603,46001.4823050864,5281.9782482798,129494.055677091,159897.920279995,131800.177923854,166113.892138136,161412.833466676,145838.100488247,204355.516583992,207848.241250275,133696.140128523,161100.048841884,190109.053848378,111218.842022141,131895.836519586,94227.6835397837,102562.459712978,95366.8866133653,210829.435719901,183199.794706189,210837.379243644,170240.914952208,194788.034888808,148678.623239939,227442.892475959,283324.865768685,272329.317480845,272239.388350037,271099.860733282,276301.896171801,254821.064105885,240898.596402471,240367.696156581,225166.186671504,213666.105645962,238927.430837867,254998.196186658,242181.132191878,286485.882512425,229713.609139616,242688.138473072,238267.642798177,149660.349557299,149083.461510282,151730.46774511,153468.051643995,150404.272638594,151804.298745005,151228.965711179,150662.291286679,147893.376076476,157770.18923527,158245.770269611,152789.431681447,145595.166153487,149920.434299407,144472.426070746,148807.643370916,146420.302141716,311974.08047247,287302.56342955,407479.89977084,352488.78439476,348688.125948992,353431.066240322,346242.692131617,349132.644930399,326686.98919108,305533.373123518,327014.795963915,370761.492623102,368244.382672683,306200.937764888,328036.548556603,314403.432466028,333324.93969545,327918.633126138,304017.350221627,281175.072517869,328615.645916227,347594.668456198,366895.274821289,362227.376495446,343103.855242832,452507.016223356,440648.402670911,321871.483011069,352393.446653915,282005.276587364,346098.309481219,393982.974739465,383856.362475624,402417.984517783,293308.195327762,224839.952399901,225904.631726055,124747.545169056,98041.3759280615,163961.662189265,153412.760039624,149567.00410109,161065.531353404,152827.904317142,106467.431166892,145980.755517779,142494.705784234,182545.444230425,217402.843130145,178616.268769875,181362.984331409,362188.722265662,349378.759215111,312411.796531877,380791.739056412,390614.595050931,534574.472684578,530213.993155792,479800.978327004,434218.912052421,452598.778515995,427575.022010004,349566.985537361,357238.722396014,333986.767257736,322205.557547929,320871.218018134,336927.156469304,104991.510552434,126327.570544633,148174.828287797,96500.1183547098,179567.237645949,144721.093963864,192720.333941238,199330.722925188,72584.7586690405,100148.092322905,88949.4414206983,137623.182989501,135840.181132272,134789.477881801,96779.024624298,162997.511453069,156488.899321731,411822.564057711,408314.153070405,376357.923411597,368366.018631568,318600.905866303,393965.147044877,395428.540256636,386993.827949806,339659.679052343,411034.938917868,307979.101050129,279905.057805382,317563.957293833,290475.480695043,419533.719205187,434451.502345721,428131.245576906
"5",57915.129796355,18934.156298189,18117.5869091471,50671.1144676878,0,46409.1787156722,49509.2787675874,22024.4173210393,76899.6568151255,44396.0528277475,45409.7490061174,71870.8530203384,106600.022625284,82271.1491725818,113062.523730293,107853.487869936,88926.3015622159,150096.458631529,151543.586117627,111012.954216641,109616.781802046,142503.703794625,66020.9059881239,92846.0603168726,100559.923474763,105764.728461163,78162.3746284826,153579.692655005,125153.009794004,152544.102454101,112203.800524604,139235.224867483,102042.310004323,197466.312599689,225099.433978163,214400.654468679,214089.2032823,213578.212217608,219838.461689833,197458.502872553,184495.550987784,183681.143517819,169514.260280573,157080.410205292,185645.825517317,208448.242252589,187944.736207391,232426.545842128,174617.85691372,184993.468606611,180007.91055183,94117.0477269859,93624.6044841779,96832.5369959302,98556.5927450287,95187.4692988569,95046.0430446,95345.1883760102,94549.2399808019,91953.3625197445,102066.209026985,102623.930099161,97901.193475937,90265.8852802538,94793.1149867796,88855.189329003,93478.7876230251,90888.4347888056,253704.63620926,228999.61567455,350860.748115741,294637.603294966,290970.088194463,296542.520552561,289052.011636441,291861.828576158,271563.954229574,251255.253920228,271006.89009728,314285.202747442,311688.341763317,249010.06875509,270445.924306619,256550.198295481,275364.070817344,292521.633945019,264760.727193242,244647.60046084,295399.532550561,312883.306359423,338206.284595276,338929.882211555,313493.776824674,417512.739323617,411678.45139547,276479.392573831,316240.51528937,240010.819010907,301753.450650895,361393.432536831,345802.286593987,361115.818242145,265213.30391866,201670.633035786,207274.343108961,151369.085456601,118888.291307045,181877.359751649,172791.179373519,194260.514698263,213921.741101838,201187.070372617,142452.137225652,185076.93731556,184228.701550489,196022.26885284,209657.116745769,219612.899729134,221772.660338334,313590.122695785,294253.483877237,266173.155614363,331343.698706365,338594.274147569,491201.277269712,487121.955773959,435620.212501133,389734.447326653,401614.557880898,372624.883450833,295388.385637,303222.999037514,283486.781208086,270653.211890999,270913.053914617,286411.309362641,163240.989223245,184321.621617845,206234.292494044,154750.321483718,235600.498633156,200485.720388145,251073.825199215,256989.366905334,130939.36252459,151147.931361822,142574.311396733,195557.949604444,189893.253429975,193071.818743677,153954.956566363,221109.27169167,214777.039691014,393324.30816413,389454.424221748,374034.882489674,364353.209726868,312822.309392809,388916.119987329,391155.571528544,375863.164384935,336622.482674699,396623.725338726,302565.638362431,270499.40811949,314779.384059017,285928.592567615,409350.787725659,423626.117114026,414950.68340439
"6",62038.8687841175,43269.0436256842,71486.4047478295,96625.3553185857,46409.1787156722,0,43686.7625162205,21989.1825177029,130623.346179369,97669.531041453,86897.2055376864,36806.9162675529,55757.1502701147,28444.4700847664,61906.3711167346,57344.1298423726,47367.1214185202,100337.263776851,105625.401525684,73574.9838026771,57005.5998878382,88550.8080854225,13900.1351841142,42902.5932543643,93756.6605160667,94664.9743929338,55322.8555753726,110639.97698835,87990.1123770831,118078.113012217,75763.1249276183,91744.1793582791,48034.5360723133,148676.787774036,192344.912401626,173838.495490739,175362.677294277,170869.313903669,173714.613553387,154269.209352317,138469.284430473,138414.580140626,121943.257318435,111851.325879501,134687.247670416,154469.422650932,138060.168520406,182285.483463234,126019.126726199,143489.863471559,143613.829136146,47626.2153803502,46936.1101715136,48743.2809499768,50450.9546109357,47853.226062273,52367.8197856808,49713.4167610386,49640.2705899935,46656.4260510394,55682.7647046527,56016.1508680151,49764.3911143611,43394.7499955794,47266.2697338115,42809.1254410412,46471.7623330988,44509.4637880091,216177.829235888,193164.346564056,304665.806952909,252866.049749868,248540.613832712,251164.646584062,244592.686479605,247654.204834394,222766.882095379,201359.337303843,223700.788578247,267843.076889716,265435.568815219,204756.229754863,227566.373015368,215060.762589871,234392.755256505,240190.823566081,211415.223622604,192199.548928434,243851.439029019,260692.493210229,288316.679949249,291769.197162966,263359.355322233,364910.220724949,361279.458111027,222460.539797871,263566.627769356,186194.43545854,247714.342934678,309757.37891657,292532.69574715,307247.137061495,216291.965589958,157047.191785982,165645.082366263,154074.369087798,121124.608129244,173301.997826181,166407.454550056,211807.253073045,241258.267628596,222790.002609015,155096.78081949,197046.217778256,199072.00044488,182185.354398167,176359.80517914,231656.503328818,233056.513684658,260109.726772876,245429.692248791,212208.892659642,278149.367274961,286692.214538864,437163.102794149,433088.394154753,381585.664473019,335702.902502687,349138.907683982,323502.568271882,245355.845373786,253008.257726666,230682.335741391,218403.173878983,217853.873833508,233617.40409762,204001.385033997,223304.923112157,245126.098519201,195691.520781185,283835.352722655,249041.350926732,292985.146699381,302397.919782004,174235.310066631,178808.214537863,192750.791741259,234076.090979039,219942.721422931,236342.399489018,200762.945979554,265164.355613128,255027.144562743,348412.915426283,344365.33576329,340389.704638216,329584.248032295,277673.361315081,353013.941897252,355796.783524353,335825.90475662,303079.435592802,354191.69999981,267924.484754068,233636.718675946,281889.817594622,252372.222110603,369576.269704129,383275.946401092,373136.673948082
"7",101459.740296211,24341.8727809874,62271.88479792,67577.850863639,49509.2787675874,43686.7625162205,0,51583.490374377,122964.785919909,94722.1781988657,54890.347066682,87914.1662966679,100610.187511513,69261.9814540086,105833.379239183,102519.058111237,98225.3279942185,144209.171659771,152946.939836261,59615.0084568039,98490.5106175248,121061.0071095,46466.4707084156,59268.372684609,46522.925784817,50109.1284868202,22520.7612503699,159547.674888955,138929.917995792,169144.097870173,126903.428737829,138289.330704855,80825.4193325856,152460.398980497,243323.597444724,222944.817777831,225125.231960367,219003.219449883,219554.84388326,202349.627875837,184968.874758253,185470.280780764,167512.637449501,159475.841287625,175613.138104954,183623.417275335,180582.401455626,223489.887387124,170451.955883515,192525.042825957,194216.252276191,96805.3346830827,96048.4744209654,96867.5720266596,98452.7750925148,96535.9766187963,102829.336808514,99215.0278406431,99455.8349006375,96445.4383404804,104511.716861708,104700.417911871,97786.5975019704,92611.0763949868,95864.1789668973,92469.0327853639,95433.7678126463,93919.2258904665,266063.868608137,243605.403246949,349219.793898287,300823.149946643,296168.903572318,296786.984623647,290956.092576929,294174.920492641,265250.495725951,242626.303334279,267846.516718433,312421.784296423,310202.993822712,251611.683634393,275082.997441431,263413.288755701,282863.285561287,252659.777754342,229149.580579948,205985.770347239,253440.833985621,272345.705543111,292523.0274586,289584.001447155,268475.67352551,377275.746629607,366319.439808785,249139.651489448,277141.114345657,207971.829100261,272705.834279943,318925.02140099,308701.736171921,327795.38126711,218907.863938352,151651.82973732,154754.345685173,104315.16856381,71021.294346767,128551.657807794,120409.07090308,160484.716651547,191221.788832972,171753.773663543,103771.80240821,145870.78644842,147739.961412698,140786.903637292,153364.581087031,180567.811896469,182061.924947904,291378.152421787,287633.060562214,240247.5013664,310598.464533145,323144.964615444,460349.857781395,455904.132849847,405957.463295383,360594.813338429,383533.581269835,364671.464833169,285858.717611024,293136.515962097,265202.489068549,254774.53435233,251646.02697688,268131.969979628,161300.792412599,178845.875652135,200243.40098502,153362.239736228,247524.748180116,213813.179185607,249726.938967387,262306.937855469,134795.43223794,129511.379650849,161840.196973617,189112.782037637,170931.108239389,195104.825816315,164329.110338493,224184.925240219,210959.529987687,341517.976239019,337814.314978363,317288.20660815,307845.27552973,256524.574666152,332633.713141018,334735.910589071,321089.339678159,279915.483799101,343052.437809279,246174.039950397,214896.586008171,258000.609240103,229343.03693994,354358.63022484,368855.904774976,360956.607322917
"8",42259.1043133858,33254.6623146046,47646.845961966,79192.3408975773,22024.4173210393,21989.1825177029,51583.490374377,0,103072.761304084,69898.9348095838,72160.6141963092,42692.7291839933,77531.5939150674,55507.8800962813,84036.1928756701,78689.6395617167,59372.5021124035,120621.063872806,121925.099759793,99335.1144226966,81230.0571706825,115449.303824911,43490.607123577,72352.1579270403,105757.696185825,108851.605936301,73661.7664983668,124196.183543949,96500.4774950989,124711.861330066,83547.750810398,109605.451061029,76312.7801058753,178204.050653296,198129.310517833,185538.606338062,185590.44883764,184361.252012541,190258.19143281,168146.21974711,154898.714667051,154130.971321658,139874.409707898,127502.531065314,156317.901151962,181264.343633071,158431.303663454,202909.425917589,145004.825144184,155894.852722845,151893.893830423,64516.7249659887,64038.1989678474,67342.9380514454,69058.568873812,65641.6788426782,65464.1497691186,65713.4107108359,64908.5691562061,62319.9118292798,72444.1229677079,73006.3087445591,68410.3925736145,60711.3750491103,65263.8137857503,59252.7646768051,63916.422835253,61295.4039598904,225579.76681987,201219.255896864,321329.340361709,265686.955636173,261898.562723632,267068.904074767,259678.359592033,262522.124049515,241931.746337223,221699.011328826,241382.72571681,284722.334583883,282139.721391031,219629.365501876,241279.752034564,227601.77903111,246537.084719522,269540.188277227,240268.036669493,221539.986232006,273378.06953002,290075.083014584,317945.263402589,321173.080253226,292987.990568279,394110.492348315,390896.930913158,249422.577284784,292778.427467658,214509.192337719,274999.674205314,339250.619427551,321390.118442624,335339.879411385,245867.855937626,185812.244609078,193626.432314972,162602.188393506,129291.08068034,187687.960733671,179653.857432165,213029.112842806,237010.747457902,221797.720936187,158412.925740708,201198.918008593,201683.636300432,199148.427826904,201563.975347783,236031.758596301,237850.995045731,285330.237246811,264619.483157252,238837.648187512,302797.56591733,309384.310801341,464401.608868021,460426.166848303,408613.39329995,362702.513588792,372598.669803441,342993.499284249,265829.6992407,273682.605199958,254711.634065379,241616.440161999,242314.804078214,257627.397756369,190978.295587117,211576.012625642,233527.649598885,182510.817260222,265150.074085274,230054.673872304,279348.260803196,286100.473026451,159297.467045226,173958.594338595,172235.537076447,222698.440869143,213943.504955961,221606.793890047,183218.926939534,249884.404266718,242511.45272581,377457.756358092,373441.771933638,366189.827697906,355755.527527899,303880.730335724,379595.994216635,382204.441056627,363660.164128959,328779.654052038,382680.333361073,293936.430435946,260320.86064711,307313.505814069,277961.200356897,397368.651236212,411238.558399425,401483.776937504
"9",108988.61067765,92666.3984668857,54337.5868366556,59330.8618095603,76899.6568151255,130623.346179369,122964.785919909,103072.761304084,0,25504.5735221149,70300.588301697,146281.292729553,187323.951768059,165955.882650774,193847.802617487,188273.841081545,164549.408234508,228562.854157802,226176.475182556,189919.260025814,191750.934543225,226097.448266749,150580.382992184,177039.832330423,159796.017403703,167663.679658659,153069.991380956,225213.319239851,193580.076112608,215870.194324597,181415.452124783,215875.24089254,186260.199908176,280315.289156629,281549.765305882,280633.160255405,278192.682336795,282344.913931779,292437.138473975,267362.284150078,258003.046329326,256383.65621823,245160.92637313,230794.859211827,264706.671224568,291958.956569609,265691.560380599,309776.616490552,251216.228552607,253560.605613758,243305.002810368,172404.518592193,172075.872623668,175999.893240271,177637.44422061,173958.081280922,170750.208302837,172981.732102639,171774.42740349,169644.534970016,179734.438597127,180412.805285993,177040.451204363,169075.230666939,173714.552136998,167259.449012305,172146.609363525,169341.83247355,314759.122864475,288984.598290172,421255.758652232,359945.121602745,357221.167915306,366594.630217312,358020.659893205,360438.766014238,346595.123656942,328032.814505542,344054.167549277,385507.714981946,382688.794273024,318589.619269945,337759.241699634,322472.327482256,340102.394099337,376852.005997718,349320.072865878,329045.643989569,379382.443993709,397143.183771328,421143.351893923,419892.181720585,396648.487991712,501895.275846776,494826.799652763,360111.9089752,400674.105483814,324441.404187151,385626.811604127,445353.116641515,430359.823069465,445500.576338626,347761.406244652,281961.648186953,285397.984011619,190994.541660121,165081.367679108,230931.216534479,220324.98185579,206369.3585523,206272.932235953,205555.203893005,170471.551623152,207117.153076668,201997.227625161,249594.321420532,281144.487964326,237544.998282175,240647.719113394,395615.20601574,369035.588236735,349543.082635631,412728.608411856,417642.01566771,575061.170969658,571060.08180295,519307.077470904,473397.182151413,481424.538166053,447098.133149547,371870.742967271,379898.65085932,364320.982598302,350644.114250428,352248.421530668,367213.90209205,132942.559444047,155261.037718645,174671.886115557,125546.355921924,176307.298043011,142439.651614934,208214.871705728,204689.533698056,100526.535776484,152569.935181227,84971.5742398864,166153.803184407,179924.386853724,151706.191194052,107274.134092245,174865.385310734,178994.831434295,472157.105260751,468464.53921309,442133.845786121,433753.042866177,383410.464791026,459156.541987439,460809.386730419,450339.86171937,405201.631829223,473190.706376123,372851.447955934,343476.868210923,383104.364442276,355511.797113784,483278.055197374,498007.842525952,490814.35739962
"10",79857.3502938938,63131.2855152214,24794.6700328542,46001.4823050864,44396.0528277475,97669.531041453,94722.1781988657,69898.9348095838,25504.5735221149,0,52711.911320328,113818.205092884,154247.688093881,132839.950849178,160773.219946536,155227.375012927,132033.055019937,195820.853640965,194088.079495078,160481.200462048,158586.087283644,192946.380327944,117913.950998799,144895.119744073,137331.773180914,144412.404776598,124891.146457691,193717.899286453,162573.438434548,186207.66460795,150148.626576766,183397.261140759,153247.030842376,249126.018535566,254167.089214437,250628.294886707,248718.338139495,251722.305656959,260952.954789325,236417.890125343,226235.179035409,224780.388045395,212934.292008366,198898.200810668,231923.873468699,258793.518774382,233125.661133474,277338.497605078,218825.566458687,222874.342053952,213848.650759674,139560.434532335,139211.675996722,143060.022866367,144711.066012627,141058.783894683,138253.936337052,140220.73982716,139063.464490369,136865.338406972,146991.050295317,147655.536217133,144106.098861276,136158.41389696,140797.136121991,134385.967758701,139255.835140788,136468.957067641,286257.617068302,260659.362262516,390532.362529853,330434.915769869,327452.656034946,335870.794203536,327550.756767479,330074.368679528,314675.002894703,295726.843353268,312571.523602124,354524.908524414,351756.549333207,287877.968788079,307665.024321093,292694.40567757,310689.310353595,344575.363479473,316596.3739711,296689.098830028,347437.645689555,364942.243836551,389948.419902547,389839.787133752,365307.713474881,469552.924547853,463505.64571431,326948.638295201,368266.32508271,291488.137643865,352487.130764903,413430.535217436,397679.835696801,412503.451981026,316786.669414524,252138.424086946,256609.184953406,176477.972214923,147485.725514823,213485.729429115,203319.170174993,202802.814828737,210544.56130458,205027.602764207,159855.798588112,199683.638526001,196125.127599325,230613.017644541,255232.44902848,232232.758499106,235011.455064877,362504.318532353,337196.77350278,316367.956214893,379690.754139438,384970.923551146,541911.020740554,537919.839554038,486142.182709967,440231.702806497,448638.702560498,415407.36507672,339669.865224222,347665.272560243,331342.292824114,317782.223105238,319201.59431081,334240.537683609,144722.158162848,167159.734978972,188040.126775086,136594.318675386,201029.912409121,166240.755564943,226688.40599977,226899.388630104,110973.692422794,151828.147274952,107246.97681909,178454.950953496,184582.340399391,168680.618303874,125346.561518477,194276.24310223,194178.546640015,443239.294204952,439454.48547843,418096.352938883,409135.891457802,358179.586350987,434213.333364693,436125.766765122,423481.720487605,380884.073735337,445377.502269188,347728.781857793,317116.569544143,358846.139655651,330646.917090878,456707.104717567,471242.007109687,463348.879550346
