"row_num","DHSID","lat","long","treated"
"2","UG200600000004","-0.499767","32.311082",0
"13","UG200600000019","0.103618","31.748963",0
"17","UG200600000023","-0.255863","31.195667",0
"18","UG200600000024","-0.847251","31.732653",0
"19","UG200600000025","-0.504027","31.183568",0
"20","UG200600000026","-0.509567","31.328109",0
"21","UG200600000027","-0.561573","31.570126",0
"22","UG200600000028","0.123882","31.214166",0
"23","UG200600000029","-0.291423","31.391554",0
"24","UG200600000030","-0.145982","31.435004",0
"26","UG200600000032","0.431351","32.282401",0
"32","UG200600000042","1.491609","32.529187",0
"33","UG200600000043","0.956516","31.831879",0
"36","UG200600000046","0.929063","32.438985",0
"38","UG200600000048","0.894168","32.413036",0
"41","UG200600000051","0.46951","31.331333",0
"42","UG200600000052","0.512382","31.557315",0
"44","UG200600000054","0.648752","31.328888",0
"45","UG200600000055","0.695439","31.801249",0
"47","UG200600000057","0.741383","31.917782",0
"48","UG200600000058","0.573414","31.919594",0
"49","UG200600000059","0.43761","32.148653",0
"52","UG200600000062","0.430846","32.965229",0
"53","UG200600000063","0.362834","33.227008",0
"61","UG200600000072","0.503527","32.866341",0
"62","UG200600000073","1.002155","32.542822",0
"103","UG200600000114","0.447477","33.834903",0
"105","UG200600000116","0.700497","33.699225",0
"107","UG200600000118","0.416167","34.069588",0
"109","UG200600000120","0.780065","33.710458",0
"111","UG200600000122","0.87726","33.725561",0
"117","UG200600000128","0.979498","33.321107",0
"120","UG200600000131","1.069171","33.31311",0
"125","UG200600000136","1.303928","33.070117",0
"126","UG200600000137","1.121935","33.318157",0
"128","UG200600000139","1.058884","32.99825",0
"133","UG200600000144","1.144634","33.557264",0
"134","UG200600000145","1.084304","33.379475",0
"142","UG200600000153","2.001353","33.560289",0
"143","UG200600000154","1.860153","33.941065",0
"144","UG200600000155","1.337988","34.080264",0
"145","UG200600000156","1.626883","33.751046",0
"147","UG200600000158","1.504328","34.133529",0
"151","UG200600000162","0.785605","34.321412",0
"152","UG200600000163","0.765713","34.310448",0
"155","UG200600000166","0.880248","34.326825",0
"158","UG200600000169","0.886679","34.318478",0
"164","UG200600000175","1.322296","33.743344",0
"166","UG200600000177","0.954134","33.930513",0
"167","UG200600000178","1.393911","33.397524",0
"168","UG200600000179","1.795237","33.584059",0
"174","UG200600000185","1.746493","33.379548",0
"178","UG200600000201","2.318662","32.88963",0
"179","UG200600000202","2.500107","33.078072",0
"180","UG200600000205","3.507755","34.127656",0
"182","UG200600000207","3.704376","33.974047",0
"183","UG200600000208","3.618382","34.139674",0
